report_year,agency_code,agency_jurisdiction,population,assaults,months_reported,assaults_percapita
1981,MOKPD00,"Kansas City, MO",450211,3935,12,874.03
1981,NV00201,"Las Vegas, NV",406915,1454,12,357.32
1981,CA01941,"Long Beach, CA",366405,1270,12,346.61
1981,CA01900,"Los Angeles County, CA",1047260,6956,12,664.21
1981,CA01942,"Los Angeles, CA",3031090,21121,12,696.81
1981,KY05680,"Louisville, KY",,,,
1981,TNMPD00,"Memphis, TN",654096,2071,12,316.62
1981,AZ00717,"Mesa, AZ",153941,546,12,354.68
1981,FL01300,"Miami-Dade County, FL",822971,6405,12,778.28
1981,FL01306,"Miami, FL",356734,4423,12,1239.86
1981,WIMPD00,"Milwaukee, WI",641715,1257,12,195.88
1981,MN02711,"Minneapolis, MN",372784,1192,12,319.76
1981,MD01604,"Montgomery County, MD",527903,676,12,128.05
1981,TN01901,"Nashville, TN",458430,1051,12,229.26
1981,NY02900,"Nassau County, NY",1054349,421,12,39.93
1981,LANPD00,"New Orleans, LA",571771,2501,12,437.41
1981,NY03030,"New York City, NY",7070429,43783,12,619.24
1981,NJNPD00,"Newark, NJ",332746,3783,12,1136.9
1981,CA00109,"Oakland, CA",347736,2652,12,762.65
1981,OK05506,"Oklahoma City, OK",414523,2236,12,539.42
1981,NB02802,"Omaha, NE",322883,470,12,145.56
