report_year,agency_code,agency_jurisdiction,population,robberies,months_reported,robberies_percapita
1979,CODPD00,"Denver, CO",486407,2257,12,464.01
1979,MI82349,"Detroit, MI",1258924,11413,12,906.57
1979,TX07102,"El Paso, TX",413244,813,12,196.74
1979,VA02901,"Fairfax County, VA",519384,465,12,89.53
1979,TX22012,"Fort Worth, TX",384582,1783,12,463.62
1979,CA01005,"Fresno, CA",194849,1009,12,517.84
1979,HI00200,"Honolulu, HI",734368,1568,12,213.52
1979,TXHPD00,"Houston, TX",1619644,9311,12,574.88
1979,INIPD00,"Indianapolis, IN",513877,2053,12,399.51
1979,FL01602,"Jacksonville, FL",546419,1555,12,284.58
1979,MOKPD00,"Kansas City, MO",462914,2651,12,572.68
1979,NV00201,"Las Vegas, NV",324220,1891,12,583.25
1979,CA01941,"Long Beach, CA",349158,2278,12,652.43
1979,CA01900,"Los Angeles County, CA",911864,3493,12,383.06
1979,CA01942,"Los Angeles, CA",2863412,20454,12,714.32
1979,KY05680,"Louisville, KY",,,,
1979,TNMPD00,"Memphis, TN",682110,3300,12,483.79
1979,AZ00717,"Mesa, AZ",115498,153,12,132.47
1979,FL01300,"Miami-Dade County, FL",677573,3232,12,477
1979,FL01306,"Miami, FL",362840,3390,12,934.3
1979,WIMPD00,"Milwaukee, WI",645097,1592,12,246.78
1979,MN02711,"Minneapolis, MN",363899,1988,12,546.31
1979,MD01604,"Montgomery County, MD",522756,560,12,107.12
1979,TN01901,"Nashville, TN",444443,1716,12,386.1
1979,NY02900,"Nassau County, NY",1105718,773,12,69.91
1979,LANPD00,"New Orleans, LA",567656,5276,12,929.44
1979,NY03030,"New York City, NY",7109420,82572,12,1161.44
1979,NJNPD00,"Newark, NJ",315818,6100,12,1931.49
1979,CA00109,"Oakland, CA",344686,3072,12,891.25
1979,OK05506,"Oklahoma City, OK",381348,1188,12,311.53
1979,NB02802,"Omaha, NE",370326,954,12,257.61
1979,FL04804,"Orlando, FL",121515,496,12,408.18
1979,PAPEP00,"Philadelphia, PA",1757368,8838,12,502.91
1979,AZ00723,"Phoenix, AZ",718216,2337,12,325.39
1979,PAPPD00,"Pittsburgh, PA",439407,2752,12,626.3
1979,OR02602,"Portland, OR",406525,1787,12,439.58
